study;mosquito species;mosquito collection site;lab colony;collection_year;generation;virus;virus strain;passages;titre_mean;titre_sd;titre unit;incubation temperature;incubation humidity;day:night;age of infected specimens days;extra food during infection;infection method;blood species?;dpi;infection rate;n;dissimination rate;n;transmission rate;n
1;Culex pipiens molestus;Best, The Netherlands;no;2014;3;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;18;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;24;50;NA;NA;6;50
1;Culex pipiens molestus;Best, The Netherlands;no;2014;3;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;23;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;24;50;NA;NA;10;50
1;Culex pipiens molestus;Best, The Netherlands;no;2014;3;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;28;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;14;50;NA;NA;10;50
1;Culex pipiens Hybrid (pipiens x molestus);Schiphol airport, The Netherlands;yes;2013, 2014;NA;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;18;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;24;50;NA;NA;2;50
1;Culex pipiens Hybrid (pipiens x molestus);Schiphol airport, The Netherlands;yes;2013, 2014;NA;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;23;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;39;50;NA;NA;0;50
1;Culex pipiens Hybrid (pipiens x molestus);Schiphol airport, The Netherlands;yes;2013, 2014;NA;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;28;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;43;50;NA;NA;14;50
1;Culex pipiens pipiens;Best, The Netherlands;no;2014;3;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;18;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;29;50;NA;NA;0;50
1;Culex pipiens pipiens;Best, The Netherlands;no;2014;3;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;23;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;50;50;NA;NA;6;50
1;Culex pipiens pipiens;Best, The Netherlands;no;2014;3;West Nile virus;lineage 2 originating from Greece (2010) ;NA;57000000;10000000;TCID50/mL;28;NA;NA;4-19;NA;Hemotek PS5 feeder;chicken;14;63;50;NA;NA;33;50
2;Culex pipiens pipiens;SanBenedetto del Tronto, Italy;no;2015;4-6;West Nile virus;lineage 2 originating from Greece (2010) ;2;42000000;NA;TCID50/mL;18;NA;NA;5-18;NA;Hemotek PS5 feeder;chicken;14;28;50;NA;NA;0;50
2;Culex pipiens pipiens;SanBenedetto del Tronto, Italy;no;2015;4-6;West Nile virus;lineage 2 originating from Greece (2010) ;2;42000000;NA;TCID50/mL;23;NA;NA;5-18;NA;Hemotek PS5 feeder;chicken;14;36;50;NA;NA;2;50
2;Culex pipiens pipiens;SanBenedetto del Tronto, Italy;no;2015;4-6;West Nile virus;lineage 2 originating from Greece (2010) ;2;42000000;NA;TCID50/mL;28;NA;NA;5-18;NA;Hemotek PS5 feeder;chicken;14;32;50;NA;NA;16;50
2;Culex pipiens pipiens;Best, The Netherlands;no;2015;4-6;West Nile virus;lineage 2 originating from Greece (2010) ;2;42000000;NA;TCID50/mL;18;NA;NA;5-18;NA;Hemotek PS5 feeder;chicken;14;26;50;NA;NA;0;50
2;Culex pipiens pipiens;Best, The Netherlands;no;2015;4-6;West Nile virus;lineage 2 originating from Greece (2010) ;2;42000000;NA;TCID50/mL;23;NA;NA;5-18;NA;Hemotek PS5 feeder;chicken;14;34;50;NA;NA;10;50
2;Culex pipiens pipiens;Best, The Netherlands;no;2015;4-6;West Nile virus;lineage 2 originating from Greece (2010) ;2;42000000;NA;TCID50/mL;28;NA;NA;5-18;NA;Hemotek PS5 feeder;chicken;14;32;50;NA;NA;10;50
3;Culex pipiens s.l.;Tour du Valat, Arles (Bouches-du-Rhone), France;no;2005;0;West Nile virus;Lineage 1 (France, 2000);5;19952623150;NA;PFU/mL;26;NA;NA;NA;NA;chicken-skin membrane;rabbit;14;NA;NA;38.5;234;15.8;57
3;Culex modestus;Lattes (Herault), France;no;2005;0;West Nile virus;Lineage 1 (France, 2000);5;19952623150;NA;PFU/mL;26;NA;NA;NA;NA;chicken-skin membrane;rabbit;14;NA;NA;89;37;55;22
3;Aedes caspius;Mas de Badet, Seintes-Maries-de-la-Mer (Bouches-du-Rhone);no;2005;0;West Nile virus;Lineage 1 (France, 2000);5;19952623150;NA;PFU/mL;26;NA;NA;NA;NA;chicken-skin membrane;rabbit;14;NA;NA;0.8;124;0;42
4;Culex pipiens s.l.;Frascati (Rome Province, Latium region), Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;0;100;5-7;0;5-7;0;5-7
4;Culex pipiens s.l.;Frascati (Rome Province, Latium region), Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;3;100;5-7;0;5-7;0;5-7
4;Culex pipiens s.l.;Frascati (Rome Province, Latium region), Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;9;100;5-7;0;5-7;0;5-7
4;Culex pipiens s.l.;Frascati (Rome Province, Latium region), Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;14;60;5-7;33;5-7;33;5-7
4;Culex pipiens s.l.;Frascati (Rome Province, Latium region), Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;21;80;5-7;100;5-7;75;5-7
4;Culex pipiens s.l.;Frascati (Rome Province, Latium region), Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;28;71;5-7;100;5-7;60;5-7
4;Aedes albopictus;Sardinia, Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;0;100;5-7;0;5-7;0;5-7
4;Aedes albopictus;Sardinia, Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;3;20;5-7;0;5-7;0;5-7
4;Aedes albopictus;Sardinia, Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;9;40;5-7;100;5-7;0;5-7
4;Aedes albopictus;Sardinia, Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;14;80;5-7;50;5-7;50;5-7
4;Aedes albopictus;Sardinia, Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;21;20;5-7;100;5-7;100;5-7
4;Aedes albopictus;Sardinia, Italy;yes;NA;NA;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;27;NA;NA;8-12;NA;pig intestine membrane;NA;28;20;5-7;100;5-7;100;5-7
5;Culex pipiens s.l.;Caffarella, Latium, Italy;yes;NA;7;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;28;70;NA;8-12;10 % sucrose;glass feeder;rabbit;32;75;32;54;24;42;24
5;Culex pipiens s.l.;Frascati, Latium, Italy;yes;NA;11;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;28;70;NA;8-12;10 % sucrose;glass feeder;rabbit;32;90;21;100;19;37;19
5;Culex pipiens s.l.;Legnaro, Veneto, Italy;no;NA;0;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;28;70;NA;8-12;10 % sucrose;glass feeder;rabbit;32;63;30;68;19;47;19
5;Culex pipiens s.l.;Zafferana, Sicily, Italy;no;NA;0;West Nile virus;Lineage 1 (Italy, 2011);NA;93325430.08;NA;PFU/mL;28;70;NA;8-12;10 % sucrose;glass feeder;rabbit;32;55;29;50;16;37;16
6;Culex pipiens s.l.;Brummen, The Netherlands;yes;2010;NA;West Nile virus;Lineage 1 (New York, 1999);NA;140000000;NA;TCID50/mL;23;NA;NA;2-5;NA;Hemotek system;chicken;14;49;131;NA;NA;22;67
6;Culex pipiens s.l.;Brummen, The Netherlands;yes;2010;NA;West Nile virus;Lineage 2 (Greece, 2010);NA;140000000;NA;TCID50/mL;23;NA;NA;2-5;NA;Hemotek system;chicken;14;33;154;NA;NA;24;79
7;Culex pipiens s.l.;Brummen, The Netherlands;yes;2010;NA;West Nile virus;Lineage 2 (Greece, 2010);NA;40000000;NA;TCID50/mL;28;NA;NA;2-5;NA;Hemotek system;chicken;14;46;NA;NA;NA;33;NA
8;Culex modestus;Lattes (Herault), France;yes;2005;3-4;West Nile virus;Lineage 1 (France, 2000);4;19952623150;NA;PFU/mL;26;NA;NA;NA;NA;chicken-skin membrane;rabbit;14;91;22;NA;NA;40;5
9;Aedes detritus;Little Neston, Cheshire, UK;no;NA;0;West Nile virus;Lineage 1 (New York, 1999);NA;2000000;NA;PFU/mL;21;70;NA;7;NA;feeding membrane;human;17;NA;NA;NA;NA;20.5;78
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
